linha;serie;clube_id;jogador_chave;clube;clube_curto;jogador;posicao;setor;forca;idade;valor_brl;pe;numero;nacionalidade;moral;energia;homonimo;no_patch;salario_semanal
528;A;585;585|carloscoronel;Morumbi FC;Morumbi FC;Bruno Ferreira;GOL;GK;68;33;23070000;R;31;Brasil;70;100;;editado;202000
529;A;585;585|maik;Morumbi FC;Morumbi FC;Gabriel Martins;LAD;DEF;68;27;31600000;R;42;Brasil;70;100;;editado;202000
530;A;585;585|luciano;Morumbi FC;Morumbi FC;Emersinho;CA;ATT;67;25;28810000;L;10;Brasil;70;100;;editado;193000
531;A;585;585|danielzinho;Morumbi FC;Morumbi FC;Wagner Lima;MC;MID;65;25;25540000;R;94;Brasil;70;100;;editado;175000
532;A;585;585|luan;Morumbi FC;Morumbi FC;Maicon Peixoto;VOL;MID;65;32;20540000;R;33;Brasil;70;100;;editado;175000
533;A;585;585|tete;Morumbi FC;Morumbi FC;Carlos Almeida;PE;ATT;65;24;25050000;B;34;Brasil;70;100;;editado;175000
534;A;585;585|felipenegrucci;Morumbi FC;Morumbi FC;Ricardo Pinto;VOL;MID;65;24;25050000;R;30;Brasil;70;100;;editado;175000
535;A;585;585|joaomoreira;Morumbi FC;Morumbi FC;Alan Machado;LAD;DEF;65;22;24090000;R;15;Brasil;70;100;;editado;175000
536;A;585;585|sabino;Morumbi FC;Morumbi FC;Hugo Carvalho;ZAG;DEF;65;33;19340000;L;35;Brasil;70;100;;editado;175000
537;A;585;585|rafaeltoloi;Morumbi FC;Morumbi FC;Emerson Vieira;ZAG;DEF;63;20;20160000;R;2;Brasil;70;100;;editado;157000
538;A;585;585|matheusbelem;Morumbi FC;Morumbi FC;Leonardo Batista;ZAG;DEF;63;30;19980000;L;37;Brasil;70;100;;editado;157000
539;A;585;585|lucasramon;Morumbi FC;Morumbi FC;Rafael Lima;LAD;DEF;63;23;21420000;R;19;Brasil;70;100;;editado;157000
540;A;585;585|cedricsoares;Morumbi FC;Morumbi FC;Alan Cardoso;LAD;DEF;60;30;15570000;R;21;Brasil;70;100;;editado;130000
541;A;585;585|rafael;Morumbi FC;Morumbi FC;Renato Oliveira;GOL;GK;59;30;14790000;L;23;Brasil;70;100;;editado;124800
542;A;978;978|andresgomez;Cruz-Maltino;Cruz-Maltino;Vinícius Barbosa;PE;ATT;81;20;68070000;R;11;Brasil;70;100;;editado;458000
543;A;978;978|cuiabano;Cruz-Maltino;Cruz-Maltino;Pedro Ferreira;LAE;DEF;81;29;70980000;L;66;Brasil;70;100;;editado;458000
544;A;978;978|robertrenan;Cruz-Maltino;Cruz-Maltino;Fábio Bezerra;ZAG;DEF;81;24;73750000;L;30;Brasil;70;100;;editado;458000
545;A;978;978|carloscuesta;Cruz-Maltino;Cruz-Maltino;Gustavo Nunes;ZAG;DEF;79;27;66500000;R;46;Brasil;70;100;;editado;400000
546;A;978;978|nunomoreira;Cruz-Maltino;Cruz-Maltino;Fábio Lima;PD;ATT;78;26;61850000;R;17;Brasil;70;100;;editado;380000
547;A;978;978|leojardim;Cruz-Maltino;Cruz-Maltino;Vitor Oliveira;GOL;GK;78;19;53840000;R;1;Brasil;70;100;;editado;380000
548;A;978;978|paulohenrique;Cruz-Maltino;Cruz-Maltino;Elias Peixoto;LAD;DEF;77;22;54090000;R;96;Brasil;70;100;;editado;360000
549;A;978;978|lucaspiton;Cruz-Maltino;Cruz-Maltino;Nathan Pinto;LAE;DEF;77;22;54090000;L;6;Brasil;70;100;;editado;360000
550;A;978;978|cauanbarros;Cruz-Maltino;Cruz-Maltino;Eduardo Correia;VOL;MID;76;26;54980000;R;88;Brasil;70;100;;editado;340000
551;A;978;978|marinohinestroza;Cruz-Maltino;Cruz-Maltino;Gabriel Gomes;PD;ATT;76;32;43400000;R;18;Brasil;70;100;;editado;340000
552;A;978;978|brenner;Cruz-Maltino;Cruz-Maltino;Raimundo Batista;CA;ATT;75;29;47780000;R;20;Brasil;70;100;;editado;320000
553;A;978;978|johanrojas;Cruz-Maltino;Cruz-Maltino;Felipe Correia;MEI;MID;74;27;49000000;R;10;Brasil;70;100;;editado;300000
554;A;978;978|claudiospinelli;Cruz-Maltino;Cruz-Maltino;Wagner Silva;CA;ATT;73;26;44670000;R;77;Brasil;70;100;;editado;280000
555;A;978;978|adson;Cruz-Maltino;Cruz-Maltino;Bruno Martins;PD;ATT;71;19;32900000;L;28;Brasil;70;100;;editado;240000
556;A;978;978|jp;Cruz-Maltino;Cruz-Maltino;Carlos Peixoto;MC;MID;70;33;25550000;B;98;Brasil;70;100;;editado;220000
557;A;978;978|joseluisrodriguez;Cruz-Maltino;Cruz-Maltino;Adriano Xavier;LAD;DEF;68;30;27330000;R;2;Brasil;70;100;;editado;202000
558;A;978;978|david;Cruz-Maltino;Cruz-Maltino;Jean Freitas;PE;ATT;68;24;29880000;R;7;Brasil;70;100;;editado;202000
559;A;978;978|thiagomendes;Cruz-Maltino;Cruz-Maltino;Pipo;VOL;MID;67;23;27730000;R;23;Brasil;70;100;;editado;193000
560;A;978;978|mateuscarvalho;Cruz-Maltino;Cruz-Maltino;Vitor Moreira;VOL;MID;66;34;19320000;L;85;Brasil;70;100;;editado;184000
561;A;978;978|alansaldivia;Cruz-Maltino;Cruz-Maltino;Thiago Gomes;ZAG;DEF;66;26;27690000;R;4;Brasil;70;100;;editado;184000
562;A;978;978|loideaugusto;Cruz-Maltino;Cruz-Maltino;Fábio Farias;PD;ATT;66;21;25120000;R;7;Brasil;70;100;;editado;184000
563;A;978;978|lucasfreitas;Cruz-Maltino;Cruz-Maltino;Wesley Tavares;ZAG;DEF;65;29;24120000;L;43;Brasil;70;100;;editado;175000
564;A;978;978|hugomoura;Cruz-Maltino;Cruz-Maltino;Wellington Freitas;VOL;MID;65;20;23130000;R;25;Brasil;70;100;;editado;175000
565;A;978;978|danielfuzato;Cruz-Maltino;Cruz-Maltino;Denilson Nunes;GOL;GK;64;22;22550000;R;13;Brasil;70;100;;editado;166000
566;A;978;978|jair;Cruz-Maltino;Cruz-Maltino;Alex Andrade;VOL;MID;63;20;20160000;R;8;Brasil;70;100;;editado;157000
567;A;978;978|tchetche;Cruz-Maltino;Cruz-Maltino;Bruno Barbosa;MC;MID;63;20;20160000;B;3;Brasil;70;100;;editado;157000
568;A;978;978|riquelme;Cruz-Maltino;Cruz-Maltino;Cícero Rodrigues;LAE;DEF;63;33;16860000;L;25;Brasil;70;100;;editado;157000
569;A;978;978|paulinho;Cruz-Maltino;Cruz-Maltino;Igor Melo;LAE;DEF;61;27;19700000;L;27;Brasil;70;100;;editado;139000
570;A;978;978|lukaszuccarello;Cruz-Maltino;Cruz-Maltino;José Machado;MEI;MID;59;30;14790000;R;17;Brasil;70;100;;editado;124800
571;A;978;978|jvfonseca;Cruz-Maltino;Cruz-Maltino;Paulo Rocha;LAD;DEF;49;29;7640000;R;60;Brasil;70;100;;editado;74000
572;A;2125;2125|luancandido;Rubro-Negro Baiano;Rubro-Negro Baiano;Jean Barbosa;LAE;DEF;73;33;33220000;L;36;Brasil;70;100;;editado;280000
573;A;2125;2125|matheuzinho;Rubro-Negro Baiano;Rubro-Negro Baiano;André Batista;MEI;MID;73;32;35260000;L;10;Brasil;70;100;;editado;280000
574;A;2125;2125|lucasarcanjo;Rubro-Negro Baiano;Rubro-Negro Baiano;Matheus Carvalho;GOL;GK;71;19;32900000;R;1;Brasil;70;100;;editado;240000
575;A;2125;2125|baralhas;Rubro-Negro Baiano;Rubro-Negro Baiano;Anderson Farias;VOL;MID;71;20;33600000;R;44;Brasil;70;100;;editado;240000
576;A;2125;2125|walace;Rubro-Negro Baiano;Rubro-Negro Baiano;Jean Monteiro;VOL;MID;71;33;28100000;R;28;Brasil;70;100;;editado;240000
577;A;2125;2125|erick;Rubro-Negro Baiano;Rubro-Negro Baiano;Hugo Farias;PD;ATT;71;23;35700000;L;33;Brasil;70;100;;editado;240000
578;A;2125;2125|ramon;Rubro-Negro Baiano;Rubro-Negro Baiano;Raimundo Farias;LAE;DEF;70;34;23980000;L;13;Brasil;70;100;;editado;220000
579;A;2125;2125|diegotarzia;Rubro-Negro Baiano;Rubro-Negro Baiano;Júlio Carvalho;PE;ATT;70;25;33730000;L;12;Brasil;70;100;;editado;220000
580;A;2125;2125|aitorcantalapiedra;Rubro-Negro Baiano;Rubro-Negro Baiano;Zeca;MEI;MID;69;26;32690000;L;17;Brasil;70;100;;editado;211000
581;A;2125;2125|riccieli;Rubro-Negro Baiano;Rubro-Negro Baiano;Thiago Pinto;ZAG;DEF;69;25;32090000;R;5;Brasil;70;100;;editado;211000
582;A;2125;2125|claudinho;Rubro-Negro Baiano;Rubro-Negro Baiano;Douglas Correia;LAD;DEF;69;33;24310000;R;2;Brasil;70;100;;editado;211000
583;A;2125;2125|caca;Rubro-Negro Baiano;Rubro-Negro Baiano;André Peixoto;ZAG;DEF;68;32;24490000;R;25;Brasil;70;100;;editado;202000
584;A;2125;2125|nathanmendes;Rubro-Negro Baiano;Rubro-Negro Baiano;Anderson Bezerra;LAD;DEF;68;20;27580000;R;45;Brasil;70;100;;editado;202000
585;A;2125;2125|pedrohenrique;Rubro-Negro Baiano;Rubro-Negro Baiano;Maiquinho;CA;ATT;68;29;28760000;L;9;Brasil;70;100;;editado;202000
586;A;2125;2125|emmanuelmartinez;Rubro-Negro Baiano;Rubro-Negro Baiano;Nathan Melo;MEI;MID;66;19;24100000;R;6;Brasil;70;100;;editado;184000
587;A;2125;2125|rubenismael;Rubro-Negro Baiano;Rubro-Negro Baiano;Julinho;VOL;MID;66;23;26150000;R;16;Brasil;70;100;;editado;184000
588;A;2125;2125|rene;Rubro-Negro Baiano;Rubro-Negro Baiano;Jeaninho;PE;ATT;65;22;24090000;R;29;Brasil;70;100;;editado;175000
589;A;2125;2125|renatokayzer;Rubro-Negro Baiano;Rubro-Negro Baiano;Carlos Lima;CA;ATT;65;30;22920000;R;79;Brasil;70;100;;editado;175000
590;A;2125;2125|fabri;Rubro-Negro Baiano;Rubro-Negro Baiano;Eduardo Martins;CA;ATT;64;26;24350000;R;23;Brasil;70;100;;editado;166000
591;A;2125;2125|lucasbraga;Rubro-Negro Baiano;Rubro-Negro Baiano;Yuri Pereira;PE;ATT;64;25;23900000;R;3;Brasil;70;100;;editado;166000
592;A;2125;2125|mateussilva;Rubro-Negro Baiano;Rubro-Negro Baiano;Robinho Ribeiro;LAD;DEF;63;26;22680000;R;98;Brasil;70;100;;editado;157000
593;A;2125;2125|jamerson;Rubro-Negro Baiano;Rubro-Negro Baiano;Wagner Monteiro;LAE;DEF;63;29;21020000;L;83;Brasil;70;100;;editado;157000
594;A;2125;2125|eduribeiro;Rubro-Negro Baiano;Rubro-Negro Baiano;Valdir Lima;ZAG;DEF;63;21;20580000;R;43;Brasil;70;100;;editado;157000
595;A;2125;2125|lucassilva;Rubro-Negro Baiano;Rubro-Negro Baiano;Francisco Ribeiro;PD;ATT;63;28;22060000;R;20;Brasil;70;100;;editado;157000
596;A;2125;2125|renzolopez;Rubro-Negro Baiano;Rubro-Negro Baiano;Marcos Almeida;CA;ATT;62;24;20230000;R;31;Brasil;70;100;;editado;148000
597;A;2125;2125|dudu;Rubro-Negro Baiano;Rubro-Negro Baiano;Robinho Barbosa;VOL;MID;61;28;18810000;L;21;Brasil;70;100;;editado;139000
598;A;2125;2125|caiquegoncalves;Rubro-Negro Baiano;Rubro-Negro Baiano;Tiaguinho;VOL;MID;60;29;16380000;R;95;Brasil;70;100;;editado;130000
599;A;2125;2125|zevitor;Rubro-Negro Baiano;Rubro-Negro Baiano;Felipe Pereira;MC;MID;60;21;16040000;R;88;Brasil;70;100;;editado;130000
600;A;2125;2125|gabriel;Rubro-Negro Baiano;Rubro-Negro Baiano;Thiago Lima;GOL;GK;59;24;16170000;R;22;Brasil;70;100;;editado;124800
601;A;2125;2125|kikesaverio;Rubro-Negro Baiano;Rubro-Negro Baiano;Carlos Souza;PE;ATT;59;28;16330000;B;19;Brasil;70;100;;editado;124800
602;B;br_B_2863;br_B_2863|gonzalomastriani;Coelho Mineiro;Coelho Mineiro;Jhon Gómez;CA;ATT;37;33;2260000;L;17;Uruguay;70;100;;editado;35800
603;B;br_B_2863;br_B_2863|lucasosa;Coelho Mineiro;Coelho Mineiro;Dudu;ZAG;DEF;35;32;1940000;L;;Argentina;70;100;;editado;31000
604;B;br_B_2863;br_B_2863|dalberthenriquechagasestevao;Coelho Mineiro;Coelho Mineiro;Wellington Oliveira;LAE;DEF;34;32;1800000;L;29;Brazil;70;100;;editado;29200
605;B;br_B_2863;br_B_2863|nathanraphaelpelaecardoso;Coelho Mineiro;Coelho Mineiro;Otávio Nunes;ZAG;DEF;33;31;1750000;R;3;Brazil;70;100;;editado;27400
606;B;br_B_2863;br_B_2863|yagosouzadesantana;Coelho Mineiro;Coelho Mineiro;Vitor Lima;MEI;MID;33;20;1870000;R;10;Brazil;70;100;;editado;27400
607;B;br_B_2863;br_B_2863|yarlenfaustinoaugusto;Coelho Mineiro;Coelho Mineiro;Emer;PD;ATT;33;20;1870000;R;67;Brazil;70;100;;editado;27400
608;B;br_B_2863;br_B_2863|matiassegovia;Coelho Mineiro;Coelho Mineiro;Miguel Salazar;PD;ATT;33;23;1980000;L;77;Paraguay;70;100;;editado;27400
609;B;br_B_2863;br_B_2863|leandrosantosdonascimento;Coelho Mineiro;Coelho Mineiro;Fábio Dias;LAD;DEF;32;27;1960000;R;22;Brazil;70;100;;editado;25600
610;B;br_B_2863;br_B_2863|alexdasilva;Coelho Mineiro;Coelho Mineiro;Fernando Peixoto;LAD;DEF;32;32;1520000;R;15;Brazil;70;100;;editado;25600
611;B;br_B_2863;br_B_2863|valdemirdeoliveirasoares;Coelho Mineiro;Coelho Mineiro;Carlos Dias;VOL;MID;32;29;1780000;R;97;Brazil;70;100;;editado;25600
612;B;br_B_2863;br_B_2863|felipeamaralcasarindamasceno;Coelho Mineiro;Coelho Mineiro;Fábio Andrade;MC;MID;32;23;1820000;R;8;Brazil;70;100;;editado;25600
613;B;br_B_2863;br_B_2863|fernandoelizari;Coelho Mineiro;Coelho Mineiro;Andrés Pérez;MEI;MID;32;35;1250000;R;5;Argentina;70;100;;editado;25600
614;B;br_B_2863;br_B_2863|luizgustavoalmeidapinto;Coelho Mineiro;Coelho Mineiro;Jão;GOL;GK;31;33;1300000;R;1;Brazil;70;100;;editado;23800
615;B;br_B_2863;br_B_2863|ricardocesardantasdasilva;Coelho Mineiro;Coelho Mineiro;Marciel;ZAG;DEF;31;33;1300000;R;45;Brazil;70;100;;editado;23800
616;B;br_B_2863;br_B_2863|manoelmessiassilvacarvalho;Coelho Mineiro;Coelho Mineiro;Jota;ZAG;DEF;31;36;1060000;R;26;Brazil;70;100;;editado;23800
617;B;br_B_2863;br_B_2863|alexandreegea;Coelho Mineiro;Coelho Mineiro;Vagner Vieira;VOL;MID;31;36;1060000;R;16;Brazil;70;100;;editado;23800
618;B;br_B_2863;br_B_2863|williangomesdesiqueira;Coelho Mineiro;Coelho Mineiro;Vinícius Correia;SA;ATT;31;39;820000;R;9;Brazil;70;100;;editado;23800
619;B;br_B_2863;br_B_2863|jhonnycardinotipedro;Coelho Mineiro;Coelho Mineiro;Pedro Freitas;LAD;DEF;30;24;1510000;R;42;Brazil;70;100;;editado;22000
620;B;br_B_2863;br_B_2863|tobiasostchega;Coelho Mineiro;Coelho Mineiro;Maximiliano Rojas;LAE;DEF;29;27;1480000;L;;Argentina;70;100;;editado;20600
621;B;br_B_2863;br_B_2863|paulovictorferreiradejesus;Coelho Mineiro;Coelho Mineiro;Robinho Bezerra;PE;ATT;29;25;1430000;L;20;Brazil;70;100;;editado;20600
622;B;br_B_2863;br_B_2863|rodrigopineiro;Coelho Mineiro;Coelho Mineiro;Agustín Viveros;PD;ATT;29;27;1480000;R;;Uruguay;70;100;;editado;20600
623;B;br_B_2863;br_B_2863|brenohenriqueneresteixeira;Coelho Mineiro;Coelho Mineiro;Wagner Peixoto;CA;ATT;29;24;1400000;L;99;Brazil;70;100;;editado;20600
624;B;br_B_2863;br_B_2863|italogustavodeaquinobrito;Coelho Mineiro;Coelho Mineiro;Denilson Machado;GOL;GK;27;20;1080000;R;52;Brazil;70;100;;editado;17800
625;B;br_B_2863;br_B_2863|thauanwillianjesussilva;Coelho Mineiro;Coelho Mineiro;Sebastião Peixoto;PD;ATT;27;22;1130000;L;11;Brazil;70;100;;editado;17800
626;B;br_B_2863;br_B_2863|guilhermeparedepinheiro;Coelho Mineiro;Coelho Mineiro;Denilson Nascimento;PD;ATT;27;30;1070000;R;7;Brazil;70;100;;editado;17800
627;B;br_B_64918;br_B_64918|lucasbelezi;Esquadrão de Aço;Esquadrão de Aço;Raimundo Siqueira;ZAG;DEF;36;23;2600000;R;;Brazil;70;100;;editado;33400
628;B;br_B_64918;br_B_64918|luanpolligomes;Esquadrão de Aço;Esquadrão de Aço;Leandro Pinto;GOL;GK;34;33;1690000;R;;Brazil;70;100;;editado;29200
629;B;br_B_64918;br_B_64918|josecarloscracconeto;Esquadrão de Aço;Esquadrão de Aço;Wesley Batista;LAD;DEF;34;32;1800000;R;;Brazil;70;100;;editado;29200
630;B;br_B_64918;br_B_64918|leonardoalveschufranco;Esquadrão de Aço;Esquadrão de Aço;Wagner Freitas;PE;ATT;34;26;2280000;L;;Brazil;70;100;;editado;29200
631;B;br_B_64918;br_B_64918|ronaldotavares;Esquadrão de Aço;Esquadrão de Aço;Miguel Carvalho;CA;ATT;34;28;2220000;R;;Portugal;70;100;;editado;29200
632;B;br_B_64918;br_B_64918|kauanrodriguesdasilva;Esquadrão de Aço;Esquadrão de Aço;Cícero Dias;MC;MID;33;21;1910000;R;;Brazil;70;100;;editado;27400
633;B;br_B_64918;br_B_64918|dixonvera;Esquadrão de Aço;Esquadrão de Aço;Édison Mendoza;PE;ATT;33;23;1980000;R;;Ecuador;70;100;;editado;27400
634;B;br_B_64918;br_B_64918|ianluccasbaroniboetto;Esquadrão de Aço;Esquadrão de Aço;Hugo Xavier;VOL;MID;32;23;1820000;R;;Brazil;70;100;;editado;25600
635;B;br_B_64918;br_B_64918|diogobatistadesouza;Esquadrão de Aço;Esquadrão de Aço;Vinícius Oliveira;LAD;DEF;31;22;1620000;R;;Brazil;70;100;;editado;23800
636;B;br_B_64918;br_B_64918|yagosantosdeandrade;Esquadrão de Aço;Esquadrão de Aço;Marcos Batista;MC;MID;31;23;1650000;L;;Brazil;70;100;;editado;23800
637;B;br_B_64918;br_B_64918|joaovictorbroadmoreiraguimaraes;Esquadrão de Aço;Esquadrão de Aço;Valdir Gomes;MC;MID;31;22;1620000;R;;Brazil;70;100;;editado;23800
638;B;br_B_64918;br_B_64918|gustavocesarmendoncagravino;Esquadrão de Aço;Esquadrão de Aço;Robson Andrade;MEI;MID;31;24;1680000;L;;Brazil;70;100;;editado;23800
639;B;br_B_64918;br_B_64918|ruanlucasdeassis;Esquadrão de Aço;Esquadrão de Aço;Rafael Nunes;PD;ATT;31;22;1620000;R;;Brazil;70;100;;editado;23800
640;B;br_B_64918;br_B_64918|kauangabrielcordeirolindes;Esquadrão de Aço;Esquadrão de Aço;Danilo Batista;MEI;MID;30;22;1450000;R;;Brazil;70;100;;editado;22000
641;B;br_B_64918;br_B_64918|jhonatanluizdasiqueira;Esquadrão de Aço;Esquadrão de Aço;Vitor Cardoso;GOL;GK;29;35;950000;R;;Brazil;70;100;;editado;20600
642;B;br_B_64918;br_B_64918|jhonatanpaulodasilva;Esquadrão de Aço;Esquadrão de Aço;Vitor Andrade;ZAG;DEF;29;27;1480000;R;;Brazil;70;100;;editado;20600
643;B;br_B_64918;br_B_64918|philipesampaio;Esquadrão de Aço;Esquadrão de Aço;Maicon Siqueira;ZAG;DEF;29;31;1210000;R;;Brazil;70;100;;editado;20600
644;B;br_B_64918;br_B_64918|rodrigosilvanascimento;Esquadrão de Aço;Esquadrão de Aço;Taves;LAE;DEF;29;22;1350000;L;;Brazil;70;100;;editado;20600
645;B;br_B_64918;br_B_64918|douglasdasilvasantos;Esquadrão de Aço;Esquadrão de Aço;Elias Farias;LAD;DEF;29;26;1450000;R;;Brazil;70;100;;editado;20600
646;B;br_B_64918;br_B_64918|giancabezas;Esquadrão de Aço;Esquadrão de Aço;Édison Gómez;MC;MID;29;23;1370000;L;;Colombia;70;100;;editado;20600
647;B;br_B_64918;br_B_64918|joaoadrianosadealmeida;Esquadrão de Aço;Esquadrão de Aço;Renato Vieira;PD;ATT;28;23;1260000;L;;Brazil;70;100;;editado;19200
648;B;br_B_64918;br_B_64918|otaviobrunodossantos;Esquadrão de Aço;Esquadrão de Aço;Douglas Andrade;PD;ATT;27;23;1150000;L;;Brazil;70;100;;editado;17800
649;B;br_B_64918;br_B_64918|wilintonaponza;Esquadrão de Aço;Esquadrão de Aço;Joaquín Flores;CA;ATT;27;26;1220000;R;;Colombia;70;100;;editado;17800
650;B;br_B_64918;br_B_64918|samuelotusanya;Esquadrão de Aço;Esquadrão de Aço;Chukwuemeka Furtado;CA;ATT;27;22;1130000;L;;Nigeria;70;100;;editado;17800
651;B;br_B_64918;br_B_64918|gabrieldasilvamoyses;Esquadrão de Aço;Esquadrão de Aço;Wallace Oliveira;CA;ATT;27;23;1150000;L;;Brazil;70;100;;editado;17800
652;B;br_B_15172;br_B_15172|gustavocoutinhosilvalopes;Dragão Goiano;Dragão Goiano;Igor Guimarães;CA;ATT;36;27;2800000;R;;Brazil;70;100;;editado;33400
653;B;br_B_15172;br_B_15172|natafelipedeamorimsantos;Dragão Goiano;Dragão Goiano;Elias Dias;ZAG;DEF;34;25;2240000;R;;Brazil;70;100;;editado;29200
654;B;br_B_15172;br_B_15172|guilhermelopesdealmeida;Dragão Goiano;Dragão Goiano;Gustavo Teixeira;LAE;DEF;34;24;2190000;L;;Brazil;70;100;;editado;29200
655;B;br_B_15172;br_B_15172|adrianomartinsdafonseca;Dragão Goiano;Dragão Goiano;Adriano Cardoso;ZAG;DEF;33;29;1950000;R;;Brazil;70;100;;editado;27400
656;B;br_B_15172;br_B_15172|juniorbarreto;Dragão Goiano;Dragão Goiano;Wilson Vargas;ZAG;DEF;33;28;2040000;R;;Paraguay;70;100;;editado;27400
657;B;br_B_15172;br_B_15172|matheussalgueiropains;Dragão Goiano;Dragão Goiano;Yuri Pinto;VOL;MID;33;26;2100000;R;;Brazil;70;100;;editado;27400
658;B;br_B_15172;br_B_15172|marronydasilvaliberatosilveira;Dragão Goiano;Dragão Goiano;Paulo Xavier;PD;ATT;33;27;2140000;L;;Brazil;70;100;;editado;27400
659;B;br_B_15172;br_B_15172|guilhermeromao;Dragão Goiano;Dragão Goiano;Alex Nascimento;LAE;DEF;32;28;1870000;L;;Brazil;70;100;;editado;25600
660;B;br_B_15172;br_B_15172|jadergentil;Dragão Goiano;Dragão Goiano;Pedro Cardoso;PE;ATT;32;22;1780000;R;;Brazil;70;100;;editado;25600
661;B;br_B_15172;br_B_15172|brunojosedesouza;Dragão Goiano;Dragão Goiano;Wagner Siqueira;PD;ATT;32;28;1870000;R;;Brazil;70;100;;editado;25600
662;B;br_B_15172;br_B_15172|paulovitorfagundesdosanjos;Dragão Goiano;Dragão Goiano;Rodrigo Siqueira;GOL;GK;31;37;980000;R;;Brazil;70;100;;editado;23800
663;B;br_B_15172;br_B_15172|geovanebatistadefaria;Dragão Goiano;Dragão Goiano;Raimundo Pereira;VOL;MID;31;37;980000;R;;Brazil;70;100;;editado;23800
664;B;br_B_15172;br_B_15172|guilhermecostamarques;Dragão Goiano;Dragão Goiano;Thiago Ferreira;MEI;MID;31;35;1140000;L;;Brazil;70;100;;editado;23800
665;B;br_B_15172;br_B_15172|danielalvesdelima;Dragão Goiano;Dragão Goiano;Yurizinho;CA;ATT;30;21;1430000;R;;Brazil;70;100;;editado;22000
666;B;br_B_15172;br_B_15172|ewerthondiogenesdasilva;Dragão Goiano;Dragão Goiano;Carlão;LAD;DEF;29;25;1430000;R;;Brazil;70;100;;editado;20600
667;B;br_B_15172;br_B_15172|leandrovilelasalesteixeira;Dragão Goiano;Dragão Goiano;Raimundo Costa;VOL;MID;29;31;1210000;R;;Brazil;70;100;;editado;20600
668;B;br_B_15172;br_B_15172|igorhenriquemartinsmachado;Dragão Goiano;Dragão Goiano;Tonico;MC;MID;29;34;1010000;R;;Brazil;70;100;;editado;20600
669;B;br_B_15172;br_B_15172|joaovictorvazlopespinto;Dragão Goiano;Dragão Goiano;Fernando Costa;PD;ATT;29;25;1430000;R;;Brazil;70;100;;editado;20600
670;B;br_B_15172;br_B_15172|leonardogomesdasilvajaco;Dragão Goiano;Dragão Goiano;Adriano Teixeira;CA;ATT;29;21;1320000;L;;Brazil;70;100;;editado;20600
671;B;br_B_15172;br_B_15172|leonardodemedeirosguimaraesrosa;Dragão Goiano;Dragão Goiano;Diego Oliveira;GOL;GK;27;24;1170000;R;;Brazil;70;100;;editado;17800
672;B;br_B_15172;br_B_15172|redneyemanueldejesusassis;Dragão Goiano;Dragão Goiano;Wesley Vieira;MEI;MID;27;24;1170000;L;;Brazil;70;100;;editado;17800
673;B;br_B_15172;br_B_15172|guilhermehenriquedeoliveiramorais;Dragão Goiano;Dragão Goiano;Daninho;PE;ATT;27;19;1060000;R;;Brazil;70;100;;editado;17800
674;B;br_B_15172;br_B_15172|leonardosantiagobarcelar;Dragão Goiano;Dragão Goiano;Jean Almeida;PD;ATT;27;27;1240000;L;;Brazil;70;100;;editado;17800
675;B;br_B_15172;br_B_15172|gabrielaraujolima;Dragão Goiano;Dragão Goiano;Francisco Nunes;PD;ATT;27;21;1100000;L;;Portugal;70;100;;editado;17800
676;B;br_B_15172;br_B_15172|geovanydossantossoares;Dragão Goiano;Dragão Goiano;Gustavo Nascimento;CA;ATT;27;25;1190000;R;;Brazil;70;100;;editado;17800
677;B;br_B_2035;br_B_2035|josericardobarbosaribeirodrumond;Azurra Catarinense;Azurra Catarinense;João Rodrigues;VOL;MID;34;30;2010000;R;77;Brazil;70;100;;editado;29200
678;B;br_B_2035;br_B_2035|wendersonoliveiradonascimento;Azurra Catarinense;Azurra Catarinense;Antônio Costa;MC;MID;34;27;2320000;R;95;Brazil;70;100;;editado;29200
679;B;br_B_2035;br_B_2035|danielpenha;Azurra Catarinense;Azurra Catarinense;Emerson Dias;MEI;MID;33;27;2140000;L;14;Brazil;70;100;;editado;27400
680;B;br_B_2035;br_B_2035|thayllonroberthdossantosrebelo;Azurra Catarinense;Azurra Catarinense;Weslinho;PD;ATT;33;19;1830000;L;43;Brazil;70;100;;editado;27400
681;B;br_B_2035;br_B_2035|wesleydaviddeoliveiraandrade;Azurra Catarinense;Azurra Catarinense;Sebastião Souza;LAD;DEF;32;26;1920000;R;52;Brazil;70;100;;editado;25600
682;B;br_B_2035;br_B_2035|paulovitormonteiro;Azurra Catarinense;Azurra Catarinense;Eduardo Cavalcanti;VOL;MID;32;21;1750000;R;25;Brazil;70;100;;editado;25600
683;B;br_B_2035;br_B_2035|guilhermeaquinovargasdossantos;Azurra Catarinense;Azurra Catarinense;Nathan Cavalcanti;ZAG;DEF;31;22;1620000;R;15;Brazil;70;100;;editado;23800
684;B;br_B_2035;br_B_2035|mateusquaresmacorreia;Azurra Catarinense;Azurra Catarinense;Leandro Guimarães;LAE;DEF;30;29;1460000;L;66;Brazil;70;100;;editado;22000
685;B;br_B_2035;br_B_2035|igorjosebohn;Azurra Catarinense;Azurra Catarinense;Otávio Almeida;GOL;GK;29;30;1280000;R;1;Brazil;70;100;;editado;20600
686;B;br_B_2035;br_B_2035|otavioaugustodepaulapassos;Azurra Catarinense;Azurra Catarinense;Sebastião Silva;GOL;GK;29;33;1080000;R;21;Brazil;70;100;;editado;20600
